Noprestamo,Pais,Fechasistema,Producto,Empdeudor1,Empnombdeudor1,Formapgodeudor1,Descripformapgode1,Empdeudor2,Empnombdeudor2,Formapagdeudor2,FechaDesem,Fechacancelacion,Saldoprestamo,Tasaintorig,Tasaintact,Tipocartera,Diasmora,Anomes,Mtomescorr,Mto30dias,Mto60dias,Mto90dias,Mto120dias,Mto150dias,Mto180dias,Mto210dias,Mto240dias,Mto270dias,Mto300dias,Mto330dias,Mto360dias,Mtomas360dias,Saldoprogram,Tipoprestamo,Mtototalmora,Diasmorareal,Contagiadosn,Porcendeudamientotal,DelinquencySinAlivio,Monto CXC,Identificacion,aniomesfsubida,aniomesfdesem,fechasubidamesanterior
000101-03-0000000033,CFC,202012,HIPOTECARIO,6141,CORPORACION ECO-GESTIONAR,2,PAGO VOLUNTARIO,767,N/A,2,2020-12-01,NULL,130000000.00,11.95,11.95,Cartera en Libros,NULL,202012,1465421.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,129856473.90,HIP,1465421.25,NULL,NO,NULL,CURRENT,NULL,NULL,202012,202012,2020-11-01
000101-03-0000000034,CFC,202012,HIPOTECARIO,6166,CONHYDRA S.A. E.S.P.,2,PAGO VOLUNTARIO,767,N/A,2,2020-09-02,NULL,198125655.00,11.00,11.00,Cartera en Libros,NULL,202012,1963293.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,198125655.00,HIP,1963293.69,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20209,2020-11-01
000101-03-0000000038,CFC,202012,HIPOTECARIO,6228,HOSPITAL UNIVERSITARIO SAN VICENTE FUNDACIÓN,2,PAGO VOLUNTARIO,2791,EMPRESA DE MEDICINA INTEGRAL EMI S.A. SERVICIO DE,2,2020-09-10,NULL,229139139.30,11.00,11.00,Cartera en Libros,NULL,202012,1809757.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,229139139.30,HIP,1809757.63,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20209,2020-11-01
000101-03-0000000042,CFC,202012,HIPOTECARIO,6110,METRO DE MEDELLIN LTDA,2,PAGO VOLUNTARIO,6110,METRO DE MEDELLIN LTDA,2,2020-08-11,NULL,327923335.00,11.00,11.00,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,327923335.00,HIP,NULL,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20208,2020-11-01
000101-03-0000000044,CFC,202012,HIPOTECARIO,6413,FUNDACION EMPRESAS PUBLICAS DE MEDELLIN EPM,2,PAGO VOLUNTARIO,0,NULL,2,2020-09-14,NULL,93108767.19,11.95,11.95,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93108767.19,HIP,NULL,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20209,2020-11-01
000101-03-0000000061,CFC,202012,HIPOTECARIO,6526,CORPORACION COLEGIO MONTESSORI,2,PAGO VOLUNTARIO,0,NULL,2,2020-11-05,NULL,81351236.31,11.95,11.95,Cartera en Libros,NULL,202012,829868.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81351236.31,HIP,829868.12,NULL,NO,NULL,CURRENT,NULL,NULL,202012,202011,2020-11-01
000101-03-0000000066,CFC,202012,HIPOTECARIO,6568,BIOPROCESOS SAS,2,PAGO VOLUNTARIO,6568,BIOPROCESOS SAS,2,2020-11-23,NULL,122000000.00,11.95,11.95,Cartera en Libros,8,202012,529306.81,944462.51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,121729339.20,HIP,1473769.32,NULL,NO,NULL,1-30 DAYS,NULL,NULL,202012,202011,2020-11-01
000101-07-0000000007,CFC,202012,PERSONAL,5694,GESTION INTEGRAL PARA CONTROL DE OBRAS S.A.S,2,PAGO VOLUNTARIO,0,NULL,2,2020-08-27,NULL,12769279.93,20.50,20.50,Cartera en Libros,NULL,202012,269129.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12769279.93,PERSO,269129.94,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20208,2020-11-01
000101-07-0000000010,CFC,202012,PERSONAL,5699,SECRETARIA DE EDUCACION MUNICIPAL DE ITAGUI,2,PAGO VOLUNTARIO,0,NULL,2,2019-12-16,2020-12-14,NULL,20.50,20.50,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PERSO,NULL,NULL,NO,NULL,N/A,NULL,NULL,202012,201912,2020-11-01
000101-07-0000000014,CFC,202012,PERSONAL,2651,HEEL COLOMBIA LTDA,2,PAGO VOLUNTARIO,0,NULL,2,2020-10-23,NULL,20753467.67,20.50,20.50,Cartera en Libros,NULL,202012,152720.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20753467.67,PERSO,152720.06,NULL,NO,NULL,CURRENT,NULL,NULL,202012,202010,2020-11-01
000101-07-0000000016,CFC,202012,PERSONAL,5809,CONCESIONARIA VIAL DEL PACIFICO S.A.S.,2,PAGO VOLUNTARIO,0,NULL,2,2020-03-10,NULL,29120065.07,20.50,20.50,Cartera en Libros,NULL,202012,524703.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28913471.55,PERSO,524703.84,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20203,2020-11-01
000101-07-0000000017,CFC,202012,PERSONAL,151,SENA,2,PAGO VOLUNTARIO,0,NULL,2,2020-03-06,NULL,30805738.50,20.50,20.50,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30805494.47,PERSO,NULL,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20203,2020-11-01
000101-07-0000000031,CFC,202012,PERSONAL,5927,AEROEXPRESOS RUSANTUR SAS,2,PAGO VOLUNTARIO,0,NULL,2,2020-03-02,NULL,50985476.97,20.50,20.50,Cartera en Libros,NULL,202012,1125790.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50985476.97,PERSO,1125790.92,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20203,2020-11-01
000101-07-0000000040,CFC,202012,PERSONAL,4548,SOLUCIONES ADMINISTRATIVAS CITY S A S,2,PAGO VOLUNTARIO,0,NULL,2,2020-03-04,NULL,94085382.78,20.50,20.50,Cartera en Libros,118,202012,1962526.80,2150905.95,2142344.05,2128752.79,2080419.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90935269.61,PERSO,10464949.47,NULL,NO,NULL,91-120 DAYS,NULL,NULL,202012,20203,2020-11-01
000101-07-0000000059,CFC,202012,PERSONAL,6228,HOSPITAL UNIVERSITARIO SAN VICENTE FUNDACIÓN,2,PAGO VOLUNTARIO,0,NULL,2,2020-09-10,NULL,54572738.94,20.50,20.50,Cartera en Libros,NULL,202012,929728.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54572738.94,PERSO,929728.88,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20209,2020-11-01
000101-07-0000000060,CFC,202012,PERSONAL,2791,EMPRESA DE MEDICINA INTEGRAL EMI S.A. SERVICIO DE,2,PAGO VOLUNTARIO,0,NULL,2,2020-09-10,NULL,44466914.98,20.50,20.50,Cartera en Libros,NULL,202012,774757.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44466914.98,PERSO,774757.96,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20209,2020-11-01
000101-07-0000000067,CFC,202012,PERSONAL,6110,METRO DE MEDELLIN LTDA,2,PAGO VOLUNTARIO,0,NULL,2,2020-08-11,NULL,46654710.31,20.50,20.50,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46654710.31,PERSO,NULL,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20208,2020-11-01
000101-07-0000000094,CFC,202012,PERSONAL,6526,CORPORACION COLEGIO MONTESSORI,2,PAGO VOLUNTARIO,0,NULL,2,2020-11-05,NULL,9941758.02,20.50,20.50,Cartera en Libros,NULL,202012,195726.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9941758.02,PERSO,195726.67,NULL,NO,NULL,CURRENT,NULL,NULL,202012,202011,2020-11-01
000101-07-0000000102,CFC,202012,PERSONAL,6568,BIOPROCESOS SAS,2,PAGO VOLUNTARIO,0,NULL,2,2020-11-23,NULL,85820916.00,20.50,20.50,Cartera en Libros,8,202012,883459.77,1872316.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84813409.65,PERSO,2755775.91,NULL,NO,NULL,1-30 DAYS,NULL,NULL,202012,202011,2020-11-01
000101-07-0000000106,CFC,202012,PERSONAL,6566,CORPORACION AUTONOMA REGIONAL DEL CENTRO DE ANTIOQ,2,PAGO VOLUNTARIO,0,NULL,2,2020-12-09,NULL,20000000.00,20.50,20.50,Cartera en Libros,NULL,202012,351672.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19883515.83,PERSO,351672.77,NULL,NO,NULL,CURRENT,NULL,NULL,202012,202012,2020-11-01
01-A-0017,SAL,202012,HIPOTECA,5,IMPORTADORA MONACO SA DE CV,VOL,Pago Voluntario,6,INPEP INST. NAC. DE PENSIONES DE EMP. PUBLICOS,DD,2003-11-04,2017-02-09,NULL,7.00,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200311,2020-11-01
01-A-0018,SAL,202012,HIPOTECA,744,FUERA DEL PAIS,DD,Descuento Directo,NULL,NULL,NULL,2003-11-17,2015-12-18,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200311,2020-11-01
01-A-0019,SAL,202012,HIPOTECA,7,COMUNICACIONES IBW EL SALVADOR SA DE CV,DD,Descuento Directo,11,LICEO CRISTIANO REVERENDO JUAN BUENO-SEDE MODELO,DD,2003-11-25,2006-11-15,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200311,2020-11-01
01-A-0020,SAL,202012,HIPOTECA,196,CLIENTE SIN EMPLEO,VOL,Pago Voluntario,NULL,NULL,NULL,2003-11-20,2006-01-09,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200311,2020-11-01
01-A-0021,SAL,202012,HIPOTECA,12,SABRITAS Y CIA. SOCIEDAD EN COMANDITA DE C.V.,DD,Descuento Directo,13,SISTEMAS BEA,DD,2003-11-22,2007-06-01,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200311,2020-11-01
01-A-0023,SAL,202012,HIPOTECA,6746,MINISTERIO DE SALUD - SECRETARIA DE ESTADO,DD,Descuento Directo,1097,FONDO SOCIAL PARA LA VIVIENDA,VOL,2003-12-03,NULL,40803.44,7.00,8.92,Cartera Administrada,NULL,202012,29.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,29.83,NULL,NO,NULL,CURRENT,NULL,NULL,202012,200312,2020-11-01
01-A-0024,SAL,202012,HIPOTECA,25,RODOLFO ANTONIO PEREZ,DD,Descuento Directo,NULL,NULL,NULL,2004-01-09,2006-12-04,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20041,2020-11-01
01-A-0025,SAL,202012,HIPOTECA,744,FUERA DEL PAIS,VOL,Pago Voluntario,6307,PENSIONADO AFP CONFIA,N/A,2003-12-12,NULL,13033.13,7.50,8.75,Cartera en Libros,1172,202012,4.60,170.90,170.90,170.90,170.90,170.90,170.90,170.90,170.90,170.90,170.90,170.90,170.90,4785.20,695.52,HIP,6840.60,NULL,NO,NULL,+ 361 DAYS,NULL,NULL,202012,200312,2020-11-01
01-A-0027,SAL,202012,HIPOTECA,6697,PROFESIONAL INDEPENDIENTE,VOL,Pago Voluntario,6697,PROFESIONAL INDEPENDIENTE,VOL,2003-12-13,2020-07-30,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,0.00,NULL,202012,200312,2020-11-01
01-A-0028,SAL,202012,HIPOTECA,31,"""SAC APOYO INTEGRAL, S.A.""",ACH,Transferencia ACH,NULL,NULL,NULL,2004-01-08,2011-07-29,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20041,2020-11-01
01-A-0029,SAL,202012,HIPOTECA,27,"""ETESAL, S.A. DE C.V.""",DD,Descuento Directo,NULL,NULL,NULL,2003-12-13,2005-07-02,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200312,2020-11-01
01-A-0030,SAL,202012,HIPOTECA,6697,PROFESIONAL INDEPENDIENTE,VOL,Pago Voluntario,NULL,NULL,NULL,2004-01-20,NULL,9834.09,7.50,9.93,Cartera Administrada,NULL,202012,8.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,8.00,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20041,2020-11-01
01-A-0031,SAL,202012,HIPOTECA,744,FUERA DEL PAIS,ACH,Transferencia ACH,744,FUERA DEL PAIS,DD,2004-01-15,2013-06-22,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20041,2020-11-01
01-A-0033,SAL,202012,HIPOTECA,38,SALONES DE BELLEZA Y EQUIPOS DE E.S. S.A DE C.V,DD,Descuento Directo,NULL,NULL,NULL,2004-01-15,2005-05-11,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20041,2020-11-01
01-A-0034,SAL,202012,HIPOTECA,39,INSTITUTO SALVADOREÑO DEL SEGURO SOCIAL,DD,Descuento Directo,NULL,NULL,NULL,2004-01-15,2012-12-13,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20041,2020-11-01
01-A-0035,SAL,202012,HIPOTECA,196,CLIENTE SIN EMPLEO,VOL,Pago Voluntario,NULL,NULL,NULL,2004-02-09,2012-03-28,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20042,2020-11-01
01-A-0036,SAL,202012,HIPOTECA,41,ORGANO JUDICIAL PAGADURIA AUXILIAR DE SANTA ANA,DD,Descuento Directo,13,SISTEMAS BEA,N/A,2004-01-20,2005-04-30,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20041,2020-11-01
01-A-0038,SAL,202012,HIPOTECA,6697,PROFESIONAL INDEPENDIENTE,VOL,Pago Voluntario,NULL,NULL,NULL,2004-04-22,NULL,43699.88,7.50,9.09,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,61-90 DAYS,3003.22,NULL,202012,20044,2020-11-01
01-A-0039,SAL,202012,HIPOTECA,196,CLIENTE SIN EMPLEO,VOL,Pago Voluntario,6,INPEP INST. NAC. DE PENSIONES DE EMP. PUBLICOS,VOL,2004-01-27,2011-03-30,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20041,2020-11-01
01-A-0040,SAL,202012,HIPOTECA,449,======,ACH,Transferencia ACH,449,======,DD,2004-01-29,2006-11-15,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20041,2020-11-01
01-A-0043,SAL,202012,HIPOTECA,43,"""SERVICIOS Y NEGOCIOS JUANELO, S.A. DE C.V.""",VOL,Pago Voluntario,196,CLIENTE SIN EMPLEO,VOL,2004-01-29,2016-06-28,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20041,2020-11-01
01-A-0045,SAL,202012,HIPOTECA,49,INDUSTRIAS WENDY S.A. DE C.V.,DD,Descuento Directo,49,INDUSTRIAS WENDY S.A. DE C.V.,DD,2004-02-03,2014-11-17,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20042,2020-11-01
01-A-0046,SAL,202012,HIPOTECA,50,"""HOSPITAL NACIONAL """"SAN JUAN DE DIOS""""""",DD,Descuento Directo,NULL,NULL,NULL,2004-01-30,NULL,4389.32,7.50,10.50,Cartera Administrada,NULL,202012,6.30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,6.30,NULL,NO,NULL,CURRENT,NULL,NULL,202012,20041,2020-11-01
01-A-0048,SAL,202012,HIPOTECA,6697,PROFESIONAL INDEPENDIENTE,VOL,Pago Voluntario,NULL,NULL,NULL,2004-03-02,2009-12-30,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20043,2020-11-01
01-A-0049,SAL,202012,HIPOTECA,39,INSTITUTO SALVADOREÑO DEL SEGURO SOCIAL,ACH,Transferencia ACH,39,INSTITUTO SALVADOREÑO DEL SEGURO SOCIAL,DD,2004-02-04,2008-01-14,NULL,7.50,NULL,Cartera en Libros,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20042,2020-11-01
01-A-0050,SAL,202012,HIPOTECA,6697,PROFESIONAL INDEPENDIENTE,VOL,Pago Voluntario,3,AMA DE CASA,VOL,2004-02-04,2018-08-30,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,20042,2020-11-01
01-A-0052,SAL,202012,HIPOTECA,935,MINISTERIO DE EDUCACION - DEPARTAMENTAL DE SAN SAL,DD,Descuento Directo,NULL,NULL,NULL,2004-11-30,NULL,10690.64,7.50,10.39,Cartera Administrada,NULL,202012,9.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,9.10,NULL,NO,NULL,CURRENT,NULL,NULL,202012,200411,2020-11-01
01-A-0053,SAL,202012,HIPOTECA,53,CORTE SUPREMA DE JUSTICIA,DD,Descuento Directo,NULL,NULL,NULL,2004-12-14,2009-09-23,NULL,7.50,NULL,Cartera Administrada,NULL,202012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HIP,NULL,NULL,NO,NULL,NULL,NULL,NULL,202012,200412,2020-11-01
